yearcode,region,regionname,tenure4,tenurename,poverty,povertyname,ten4s
2010,1,London,2,Social rent,0,Not poor,10.4927883789121
2009,1,London,2,Social rent,0,Not poor,11.3015718139327
2008,1,London,2,Social rent,0,Not poor,11.4687234780525
2007,1,London,2,Social rent,0,Not poor,11.4954241098998
2006,1,London,2,Social rent,0,Not poor,11.5901580262397
2005,1,London,2,Social rent,0,Not poor,11.0280091620189
2004,1,London,2,Social rent,0,Not poor,10.4728545159398
2003,1,London,2,Social rent,0,Not poor,10.6370309491022
2002,1,London,2,Social rent,0,Not poor,10.6797519321069
2001,1,London,2,Social rent,0,Not poor,10.5823200362447
2000,1,London,2,Social rent,0,Not poor,11.0537153751761
1999,1,London,2,Social rent,0,Not poor,11.6691778898037
1998,1,London,2,Social rent,0,Not poor,12.2727357759317
1997,1,London,2,Social rent,0,Not poor,12.4243520580338
1996,1,London,2,Social rent,0,Not poor,12.2972744713902
1995,1,London,2,Social rent,0,Not poor,12.8772994089943
1994,1,London,2,Social rent,0,Not poor,13.365503484347
2018,1,London,3,Private rent,0,Not poor,25.0168963127854
2017,1,London,3,Private rent,0,Not poor,24.5242613205938
2016,1,London,3,Private rent,0,Not poor,23.7704301703775
2015,1,London,3,Private rent,0,Not poor,22.8532143427375
2014,1,London,3,Private rent,0,Not poor,22.5121295635448
2013,1,London,3,Private rent,0,Not poor,22.8401787520065
2012,1,London,3,Private rent,0,Not poor,21.5260140357068
2011,1,London,3,Private rent,0,Not poor,19.471905556851
2010,1,London,3,Private rent,0,Not poor,18.0530165818035
2009,1,London,3,Private rent,0,Not poor,17.7670623726301
2008,1,London,3,Private rent,0,Not poor,18.5102499385424
2007,1,London,3,Private rent,0,Not poor,18.1199522435039
2006,1,London,3,Private rent,0,Not poor,17.2430057683504
2005,1,London,3,Private rent,0,Not poor,16.612119058985
2004,1,London,3,Private rent,0,Not poor,15.5783172451179
2003,1,London,3,Private rent,0,Not poor,14.7098042680249
2002,1,London,3,Private rent,0,Not poor,14.1732508531686
2001,1,London,3,Private rent,0,Not poor,13.4625737503143
2000,1,London,3,Private rent,0,Not poor,12.2973192336232
1999,1,London,3,Private rent,0,Not poor,11.8762422137128
1998,1,London,3,Private rent,0,Not poor,11.6816330224366
1997,1,London,3,Private rent,0,Not poor,10.2855513172491
1996,1,London,3,Private rent,0,Not poor,9.59357796246166
1995,1,London,3,Private rent,0,Not poor,9.888764332903
1994,1,London,3,Private rent,0,Not poor,9.92847399597186
2018,1,London,4,Care of/rent free,0,Not poor,16.9397596499216
2017,1,London,4,Care of/rent free,0,Not poor,16.4827956204102
2016,1,London,4,Care of/rent free,0,Not poor,15.6309086879573
2015,1,London,4,Care of/rent free,0,Not poor,15.5568792004551
2014,1,London,4,Care of/rent free,0,Not poor,15.9957992139903
2013,1,London,4,Care of/rent free,0,Not poor,16.2998145670521
2012,1,London,4,Care of/rent free,0,Not poor,17.0873920588465
2011,1,London,4,Care of/rent free,0,Not poor,17.1409933567259
2010,1,London,4,Care of/rent free,0,Not poor,15.899488305736
2009,1,London,4,Care of/rent free,0,Not poor,14.9378685362597
2008,1,London,4,Care of/rent free,0,Not poor,14.7974544375953
2007,1,London,4,Care of/rent free,0,Not poor,14.8206589664736
2006,1,London,4,Care of/rent free,0,Not poor,14.6275983129611
2005,1,London,4,Care of/rent free,0,Not poor,14.7405782041476
2004,1,London,4,Care of/rent free,0,Not poor,15.3072905432222
2003,1,London,4,Care of/rent free,0,Not poor,15.8069436240003
2002,1,London,4,Care of/rent free,0,Not poor,15.4992530719657
2001,1,London,4,Care of/rent free,0,Not poor,14.9215505261609
2000,1,London,4,Care of/rent free,0,Not poor,14.6922102457462
1999,1,London,4,Care of/rent free,0,Not poor,14.3853563835584
1998,1,London,4,Care of/rent free,0,Not poor,14.2834617338618
1997,1,London,4,Care of/rent free,0,Not poor,14.581900810705
1996,1,London,4,Care of/rent free,0,Not poor,14.7398279259181
1995,1,London,4,Care of/rent free,0,Not poor,14.54547810509
1994,1,London,4,Care of/rent free,0,Not poor,14.380507076555
2018,2,South,1,Owner occupier,0,Not poor,68.0045916847279
2017,2,South,1,Owner occupier,0,Not poor,67.4931449664214
2016,2,South,1,Owner occupier,0,Not poor,67.022968868121
2015,2,South,1,Owner occupier,0,Not poor,67.144387838688
2014,2,South,1,Owner occupier,0,Not poor,67.4107352414965
2013,2,South,1,Owner occupier,0,Not poor,67.858634057934
2012,2,South,1,Owner occupier,0,Not poor,68.385920364513
2011,2,South,1,Owner occupier,0,Not poor,68.6961371003131
2010,2,South,1,Owner occupier,0,Not poor,69.017964138239
2009,2,South,1,Owner occupier,0,Not poor,69.7456405271649
2008,2,South,1,Owner occupier,0,Not poor,70.3227696004319
2007,2,South,1,Owner occupier,0,Not poor,70.7888709616388
2006,2,South,1,Owner occupier,0,Not poor,71.2779210783127
2005,2,South,1,Owner occupier,0,Not poor,71.474165989286
2004,2,South,1,Owner occupier,0,Not poor,71.6512565053373
2003,2,South,1,Owner occupier,0,Not poor,72.1512776003744
2002,2,South,1,Owner occupier,0,Not poor,73.3207854650736
2001,2,South,1,Owner occupier,0,Not poor,74.6723045722426
2000,2,South,1,Owner occupier,0,Not poor,75.2869084134794
1999,2,South,1,Owner occupier,0,Not poor,75.0684605294119
1998,2,South,1,Owner occupier,0,Not poor,74.6291402214805
1997,2,South,1,Owner occupier,0,Not poor,74.4257171192091
1996,2,South,1,Owner occupier,0,Not poor,73.8946095798145
1995,2,South,1,Owner occupier,0,Not poor,73.0865185103149
1994,2,South,1,Owner occupier,0,Not poor,72.7639689086714
2018,2,South,2,Social rent,0,Not poor,7.46770358718962
2017,2,South,2,Social rent,0,Not poor,7.41860782296636
2016,2,South,2,Social rent,0,Not poor,7.31866073158831
2015,2,South,2,Social rent,0,Not poor,7.45899520462669
2014,2,South,2,Social rent,0,Not poor,7.56007218355947
2013,2,South,2,Social rent,0,Not poor,7.35289734437585
2012,2,South,2,Social rent,0,Not poor,7.2606613754949
2011,2,South,2,Social rent,0,Not poor,7.46934824197278
2010,2,South,2,Social rent,0,Not poor,7.67650020771109
2009,2,South,2,Social rent,0,Not poor,7.66918615144053
2008,2,South,2,Social rent,0,Not poor,7.62905911262635
2007,2,South,2,Social rent,0,Not poor,7.3996787808207
2006,2,South,2,Social rent,0,Not poor,7.24965775795043
2005,2,South,2,Social rent,0,Not poor,7.70146050911168
2004,2,South,2,Social rent,0,Not poor,8.07982209359283
2003,2,South,2,Social rent,0,Not poor,7.82595651621748
2002,2,South,2,Social rent,0,Not poor,7.30055905285945
2001,2,South,2,Social rent,0,Not poor,6.72087951360358
2000,2,South,2,Social rent,0,Not poor,6.40720520138543
1999,2,South,2,Social rent,0,Not poor,6.44269444537396
1998,2,South,2,Social rent,0,Not poor,6.68818371217686
1997,2,South,2,Social rent,0,Not poor,7.02835366556907
1996,2,South,2,Social rent,0,Not poor,7.48858968230922
1995,2,South,2,Social rent,0,Not poor,8.23165428747581
1994,2,South,2,Social rent,0,Not poor,8.65377915741071
2018,2,South,3,Private rent,0,Not poor,12.2978447447816
2017,2,South,3,Private rent,0,Not poor,13.0520194128559
2016,2,South,3,Private rent,0,Not poor,13.861940950541
2015,2,South,3,Private rent,0,Not poor,13.5210413735637
2014,2,South,3,Private rent,0,Not poor,13.1829613228178
2013,2,South,3,Private rent,0,Not poor,13.0920413404397
2012,2,South,3,Private rent,0,Not poor,12.8704853617641
2011,2,South,3,Private rent,0,Not poor,12.6587697723968
2010,2,South,3,Private rent,0,Not poor,12.0865595539675
2009,2,South,3,Private rent,0,Not poor,11.2563825362519
2008,2,South,3,Private rent,0,Not poor,10.7142528106148
2007,2,South,3,Private rent,0,Not poor,10.3692226504844
2006,2,South,3,Private rent,0,Not poor,9.64102195754228
2005,2,South,3,Private rent,0,Not poor,8.61843297688556
2004,2,South,3,Private rent,0,Not poor,8.00914535239018
2003,2,South,3,Private rent,0,Not poor,7.68562584752343
2002,2,South,3,Private rent,0,Not poor,7.11660044387512
2001,2,South,3,Private rent,0,Not poor,6.81225345224189
2000,2,South,3,Private rent,0,Not poor,6.91683393178857
1999,2,South,3,Private rent,0,Not poor,7.00458629682273
1998,2,South,3,Private rent,0,Not poor,6.99102462416431
1997,2,South,3,Private rent,0,Not poor,6.67893164979711
1996,2,South,3,Private rent,0,Not poor,6.23787890009003
1995,2,South,3,Private rent,0,Not poor,5.91777144010173
1994,2,South,3,Private rent,0,Not poor,5.77890233483664
2018,2,South,4,Care of/rent free,0,Not poor,12.229859983301
2017,2,South,4,Care of/rent free,0,Not poor,12.0362277977563
2016,2,South,4,Care of/rent free,0,Not poor,11.7964294497497
2015,2,South,4,Care of/rent free,0,Not poor,11.8755755831217
2014,2,South,4,Care of/rent free,0,Not poor,11.8462312521262
2013,2,South,4,Care of/rent free,0,Not poor,11.6964272572505
2012,2,South,4,Care of/rent free,0,Not poor,11.482932898228
2011,2,South,4,Care of/rent free,0,Not poor,11.1757448853174
2010,2,South,4,Care of/rent free,0,Not poor,11.2189761000824
2009,2,South,4,Care of/rent free,0,Not poor,11.3287907851427
2008,2,South,4,Care of/rent free,0,Not poor,11.3339184763269
2007,2,South,4,Care of/rent free,0,Not poor,11.442227607056
2006,2,South,4,Care of/rent free,0,Not poor,11.8313992061945
2005,2,South,4,Care of/rent free,0,Not poor,12.2059405247168
2004,2,South,4,Care of/rent free,0,Not poor,12.2597760486797
2003,2,South,4,Care of/rent free,0,Not poor,12.3371400358847
2002,2,South,4,Care of/rent free,0,Not poor,12.2620550381919
2001,2,South,4,Care of/rent free,0,Not poor,11.794562461912
2000,2,South,4,Care of/rent free,0,Not poor,11.3890524533466
1999,2,South,4,Care of/rent free,0,Not poor,11.4842587283914
1998,2,South,4,Care of/rent free,0,Not poor,11.6916514421784
1997,2,South,4,Care of/rent free,0,Not poor,11.8669975654247
1996,2,South,4,Care of/rent free,0,Not poor,12.3789218377863
1995,2,South,4,Care of/rent free,0,Not poor,12.7640557621075
1994,2,South,4,Care of/rent free,0,Not poor,12.8033495990812
2018,3,Midlands,1,Owner occupier,0,Not poor,64.8872128731964
2017,3,Midlands,1,Owner occupier,0,Not poor,65.3505253370959
2016,3,Midlands,1,Owner occupier,0,Not poor,65.735302938526
2015,3,Midlands,1,Owner occupier,0,Not poor,65.6870482975922
2014,3,Midlands,1,Owner occupier,0,Not poor,66.4908532439428
2013,3,Midlands,1,Owner occupier,0,Not poor,67.3894471028181
2012,3,Midlands,1,Owner occupier,0,Not poor,67.1236468938426
2011,3,Midlands,1,Owner occupier,0,Not poor,67.3386043252882
2010,3,Midlands,1,Owner occupier,0,Not poor,68.431671874524
2009,3,Midlands,1,Owner occupier,0,Not poor,69.5397020257808
2008,3,Midlands,1,Owner occupier,0,Not poor,70.4264994007273
2007,3,Midlands,1,Owner occupier,0,Not poor,70.6198927591116
2006,3,Midlands,1,Owner occupier,0,Not poor,70.7058101800233
2005,3,Midlands,1,Owner occupier,0,Not poor,71.213407178646
2004,3,Midlands,1,Owner occupier,0,Not poor,71.9093307876685
2003,3,Midlands,1,Owner occupier,0,Not poor,72.7477064757454
2002,3,Midlands,1,Owner occupier,0,Not poor,73.2726352497714
2001,3,Midlands,1,Owner occupier,0,Not poor,72.9905978514081
2000,3,Midlands,1,Owner occupier,0,Not poor,72.7673050780581
1999,3,Midlands,1,Owner occupier,0,Not poor,72.8094875386324
1998,3,Midlands,1,Owner occupier,0,Not poor,72.6395170548832
1997,3,Midlands,1,Owner occupier,0,Not poor,72.4397782474311
1996,3,Midlands,1,Owner occupier,0,Not poor,72.0391788506753
1995,3,Midlands,1,Owner occupier,0,Not poor,71.2721107832547
1994,3,Midlands,1,Owner occupier,0,Not poor,70.8258998671277
2018,3,Midlands,2,Social rent,0,Not poor,9.33797701921613
2017,3,Midlands,2,Social rent,0,Not poor,9.04284999218095
2016,3,Midlands,2,Social rent,0,Not poor,8.88368268118126
2015,3,Midlands,2,Social rent,0,Not poor,8.99186266996671
2014,3,Midlands,2,Social rent,0,Not poor,9.09057582807461
2013,3,Midlands,2,Social rent,0,Not poor,9.34817774085768
2012,3,Midlands,2,Social rent,0,Not poor,9.34746231093018
2011,3,Midlands,2,Social rent,0,Not poor,9.00297719231438
2010,3,Midlands,2,Social rent,0,Not poor,8.82083005603583
2009,3,Midlands,2,Social rent,0,Not poor,8.84144112585479
2008,3,Midlands,2,Social rent,0,Not poor,8.89994580938561
2007,3,Midlands,2,Social rent,0,Not poor,8.98199824633797
2006,3,Midlands,2,Social rent,0,Not poor,9.28236759335473
2005,3,Midlands,2,Social rent,0,Not poor,9.77080953130039
2004,3,Midlands,2,Social rent,0,Not poor,9.74129381961814
2003,3,Midlands,2,Social rent,0,Not poor,9.14941088683947
2002,3,Midlands,2,Social rent,0,Not poor,8.99607903153977
2001,3,Midlands,2,Social rent,0,Not poor,9.31823443017263
2000,3,Midlands,2,Social rent,0,Not poor,9.34676380707449
1999,3,Midlands,2,Social rent,0,Not poor,9.48743546489914
1998,3,Midlands,2,Social rent,0,Not poor,9.67175427650202
1997,3,Midlands,2,Social rent,0,Not poor,9.56121719370173
1996,3,Midlands,2,Social rent,0,Not poor,10.0065528143686
1995,3,Midlands,2,Social rent,0,Not poor,10.9077787391361
1994,3,Midlands,2,Social rent,0,Not poor,11.2957933517772
2018,3,Midlands,3,Private rent,0,Not poor,12.9845605328238
2017,3,Midlands,3,Private rent,0,Not poor,12.814062737806
2016,3,Midlands,3,Private rent,0,Not poor,12.5613468058509
2015,3,Midlands,3,Private rent,0,Not poor,12.2782562612049
2014,3,Midlands,3,Private rent,0,Not poor,11.2267845887162
2013,3,Midlands,3,Private rent,0,Not poor,10.4350765685639
2012,3,Midlands,3,Private rent,0,Not poor,10.897993047439
2011,3,Midlands,3,Private rent,0,Not poor,10.7735872572787
2010,3,Midlands,3,Private rent,0,Not poor,9.71522913797469
2009,3,Midlands,3,Private rent,0,Not poor,8.70893186322004
2008,3,Midlands,3,Private rent,0,Not poor,7.98761366699644
2007,3,Midlands,3,Private rent,0,Not poor,7.50496321937373
2006,3,Midlands,3,Private rent,0,Not poor,6.85552449473701
2005,3,Midlands,3,Private rent,0,Not poor,6.21053330429511
2004,3,Midlands,3,Private rent,0,Not poor,5.8734252840233
2003,3,Midlands,3,Private rent,0,Not poor,5.63246176974426
2002,3,Midlands,3,Private rent,0,Not poor,5.17521853534233
2001,3,Midlands,3,Private rent,0,Not poor,4.78706329471948
2000,3,Midlands,3,Private rent,0,Not poor,4.83295097745041
1999,3,Midlands,3,Private rent,0,Not poor,4.70133485347089
1998,3,Midlands,3,Private rent,0,Not poor,4.20582926472199
1997,3,Midlands,3,Private rent,0,Not poor,4.04837617099346
1996,3,Midlands,3,Private rent,0,Not poor,4.20544654277474
1995,3,Midlands,3,Private rent,0,Not poor,4.16087590011576
1994,3,Midlands,3,Private rent,0,Not poor,4.0517611766947
2018,3,Midlands,4,Care of/rent free,0,Not poor,12.7902495747636
2017,3,Midlands,4,Care of/rent free,0,Not poor,12.7925619329171
2016,3,Midlands,4,Care of/rent free,0,Not poor,12.8196675744418
2015,3,Midlands,4,Care of/rent free,0,Not poor,13.0428327712362
2014,3,Midlands,4,Care of/rent free,0,Not poor,13.1917863392664
2013,3,Midlands,4,Care of/rent free,0,Not poor,12.8272985877603
2012,3,Midlands,4,Care of/rent free,0,Not poor,12.6308977477883
2011,3,Midlands,4,Care of/rent free,0,Not poor,12.8848312251187
2010,3,Midlands,4,Care of/rent free,0,Not poor,13.0322689314655
2009,3,Midlands,4,Care of/rent free,0,Not poor,12.9099249851444
2008,3,Midlands,4,Care of/rent free,0,Not poor,12.6859411228906
2007,3,Midlands,4,Care of/rent free,0,Not poor,12.8931457751767
2006,3,Midlands,4,Care of/rent free,0,Not poor,13.156297731885
2005,3,Midlands,4,Care of/rent free,0,Not poor,12.8052499857586
2004,3,Midlands,4,Care of/rent free,0,Not poor,12.4759501086901
2003,3,Midlands,4,Care of/rent free,0,Not poor,12.4704208676709
2002,3,Midlands,4,Care of/rent free,0,Not poor,12.5560671833465
2001,3,Midlands,4,Care of/rent free,0,Not poor,12.9041044236998
2000,3,Midlands,4,Care of/rent free,0,Not poor,13.052980137417
1999,3,Midlands,4,Care of/rent free,0,Not poor,13.0017421429975
1998,3,Midlands,4,Care of/rent free,0,Not poor,13.4828994038928
1997,3,Midlands,4,Care of/rent free,0,Not poor,13.9506283878737
1996,3,Midlands,4,Care of/rent free,0,Not poor,13.7488217921814
1995,3,Midlands,4,Care of/rent free,0,Not poor,13.6592345774935
1994,3,Midlands,4,Care of/rent free,0,Not poor,13.8265456044004
2018,4,North/Wales,1,Owner occupier,0,Not poor,64.68565885879
2017,4,North/Wales,1,Owner occupier,0,Not poor,65.1163067035695
2016,4,North/Wales,1,Owner occupier,0,Not poor,65.4807798465729
2015,4,North/Wales,1,Owner occupier,0,Not poor,65.438421464032
2014,4,North/Wales,1,Owner occupier,0,Not poor,65.7850155116385
2013,4,North/Wales,1,Owner occupier,0,Not poor,66.1236767731701
2012,4,North/Wales,1,Owner occupier,0,Not poor,66.1755318254166
2011,4,North/Wales,1,Owner occupier,0,Not poor,66.3661373886907
2010,4,North/Wales,1,Owner occupier,0,Not poor,67.0193948485679
2009,4,North/Wales,1,Owner occupier,0,Not poor,68.0269950259313
2008,4,North/Wales,1,Owner occupier,0,Not poor,68.7058999224473
2007,4,North/Wales,1,Owner occupier,0,Not poor,69.3913606308449
2006,4,North/Wales,1,Owner occupier,0,Not poor,70.2901930378098
2005,4,North/Wales,1,Owner occupier,0,Not poor,70.6167869113868
2004,4,North/Wales,1,Owner occupier,0,Not poor,70.771188713382
2003,4,North/Wales,1,Owner occupier,0,Not poor,71.0000442939929
2002,4,North/Wales,1,Owner occupier,0,Not poor,71.1165261252478
2001,4,North/Wales,1,Owner occupier,0,Not poor,71.7624411452173
2000,4,North/Wales,1,Owner occupier,0,Not poor,72.3748108422904
1999,4,North/Wales,1,Owner occupier,0,Not poor,72.3240667415186
1998,4,North/Wales,1,Owner occupier,0,Not poor,71.831382798757
1997,4,North/Wales,1,Owner occupier,0,Not poor,71.1954333694743
1996,4,North/Wales,1,Owner occupier,0,Not poor,70.8872784198403
1995,4,North/Wales,1,Owner occupier,0,Not poor,70.3299152499045
1994,4,North/Wales,1,Owner occupier,0,Not poor,69.8215087527348
2018,4,North/Wales,2,Social rent,0,Not poor,9.60603647654015
2017,4,North/Wales,2,Social rent,0,Not poor,9.39465584306264
2016,4,North/Wales,2,Social rent,0,Not poor,9.46192427924721
2015,4,North/Wales,2,Social rent,0,Not poor,9.86065403740279
2014,4,North/Wales,2,Social rent,0,Not poor,9.90471169428286
2013,4,North/Wales,2,Social rent,0,Not poor,10.2058034757422
2012,4,North/Wales,2,Social rent,0,Not poor,10.9003016706434
2011,4,North/Wales,2,Social rent,0,Not poor,11.2559424946835
2010,4,North/Wales,2,Social rent,0,Not poor,11.1347369909442
2009,4,North/Wales,2,Social rent,0,Not poor,10.8300608596114
2008,4,North/Wales,2,Social rent,0,Not poor,10.697052254596
2007,4,North/Wales,2,Social rent,0,Not poor,10.6898961153639
2006,4,North/Wales,2,Social rent,0,Not poor,10.6891284248911
2005,4,North/Wales,2,Social rent,0,Not poor,10.7720949169318
2004,4,North/Wales,2,Social rent,0,Not poor,10.9808585112578
2003,4,North/Wales,2,Social rent,0,Not poor,11.1967342887608
2002,4,North/Wales,2,Social rent,0,Not poor,11.1991496474809
2001,4,North/Wales,2,Social rent,0,Not poor,11.0050577876094
2000,4,North/Wales,2,Social rent,0,Not poor,10.7636589935782
1999,4,North/Wales,2,Social rent,0,Not poor,10.5733913179316
1998,4,North/Wales,2,Social rent,0,Not poor,10.6901670409336
1997,4,North/Wales,2,Social rent,0,Not poor,11.1703240029843
1996,4,North/Wales,2,Social rent,0,Not poor,11.6124104969378
1995,4,North/Wales,2,Social rent,0,Not poor,12.007113002941
1994,4,North/Wales,2,Social rent,0,Not poor,12.249219799924
2018,4,North/Wales,3,Private rent,0,Not poor,11.9525713967234
2017,4,North/Wales,3,Private rent,0,Not poor,11.8500624338598
2016,4,North/Wales,3,Private rent,0,Not poor,11.9617412892431
2015,4,North/Wales,3,Private rent,0,Not poor,12.3423618789706
2014,4,North/Wales,3,Private rent,0,Not poor,12.0686961294908
2013,4,North/Wales,3,Private rent,0,Not poor,10.8970737442439
2012,4,North/Wales,3,Private rent,0,Not poor,9.73080512749701
2011,4,North/Wales,3,Private rent,0,Not poor,9.28638629195408
2010,4,North/Wales,3,Private rent,0,Not poor,9.08762992940573
2009,4,North/Wales,3,Private rent,0,Not poor,8.5133035012849
2008,4,North/Wales,3,Private rent,0,Not poor,7.77829385168353
2007,4,North/Wales,3,Private rent,0,Not poor,6.92214758202763
2006,4,North/Wales,3,Private rent,0,Not poor,6.20230314746069
2005,4,North/Wales,3,Private rent,0,Not poor,6.07122482447197
2004,4,North/Wales,3,Private rent,0,Not poor,5.78615616214883
2003,4,North/Wales,3,Private rent,0,Not poor,5.07537849301498
2002,4,North/Wales,3,Private rent,0,Not poor,4.76213524212826
2001,4,North/Wales,3,Private rent,0,Not poor,4.75178645825455
2000,4,North/Wales,3,Private rent,0,Not poor,4.69026356551517
1999,4,North/Wales,3,Private rent,0,Not poor,4.60189608294545
1998,4,North/Wales,3,Private rent,0,Not poor,4.41202609303573
1997,4,North/Wales,3,Private rent,0,Not poor,4.1669785966769
1996,4,North/Wales,3,Private rent,0,Not poor,4.05220264798132
1995,4,North/Wales,3,Private rent,0,Not poor,4.08056824038802
1994,4,North/Wales,3,Private rent,0,Not poor,4.10125848828164
2018,4,North/Wales,4,Care of/rent free,0,Not poor,13.7557332679464
2017,4,North/Wales,4,Care of/rent free,0,Not poor,13.6389750195081
2016,4,North/Wales,4,Care of/rent free,0,Not poor,13.0955545849368
2015,4,North/Wales,4,Care of/rent free,0,Not poor,12.3585626195946
2014,4,North/Wales,4,Care of/rent free,0,Not poor,12.2415766645878
2013,4,North/Wales,4,Care of/rent free,0,Not poor,12.7734460068438
2012,4,North/Wales,4,Care of/rent free,0,Not poor,13.193361376443
2011,4,North/Wales,4,Care of/rent free,0,Not poor,13.0915338246717
2010,4,North/Wales,4,Care of/rent free,0,Not poor,12.7582382310822
2009,4,North/Wales,4,Care of/rent free,0,Not poor,12.6296406131724
2008,4,North/Wales,4,Care of/rent free,0,Not poor,12.8187539712732
2007,4,North/Wales,4,Care of/rent free,0,Not poor,12.9965956717637
2006,4,North/Wales,4,Care of/rent free,0,Not poor,12.8183753898384
2005,4,North/Wales,4,Care of/rent free,0,Not poor,12.5398933472094
2004,4,North/Wales,4,Care of/rent free,0,Not poor,12.4617966132114
2003,4,North/Wales,4,Care of/rent free,0,Not poor,12.7278429242313
2002,4,North/Wales,4,Care of/rent free,0,Not poor,12.922188985143
2001,4,North/Wales,4,Care of/rent free,0,Not poor,12.4807146089188
2000,4,North/Wales,4,Care of/rent free,0,Not poor,12.1712665986161
1999,4,North/Wales,4,Care of/rent free,0,Not poor,12.5006458576043
1998,4,North/Wales,4,Care of/rent free,0,Not poor,13.0664240672737
1997,4,North/Wales,4,Care of/rent free,0,Not poor,13.4672640308645
1996,4,North/Wales,4,Care of/rent free,0,Not poor,13.4481084352405
1995,4,North/Wales,4,Care of/rent free,0,Not poor,13.5824035067665
1994,4,North/Wales,4,Care of/rent free,0,Not poor,13.8280129590596
2018,5,Scotland,1,Owner occupier,0,Not poor,66.082423995398
2017,5,Scotland,1,Owner occupier,0,Not poor,65.9707300914381
2016,5,Scotland,1,Owner occupier,0,Not poor,65.341270642986
2015,5,Scotland,1,Owner occupier,0,Not poor,64.1802423738976
2014,5,Scotland,1,Owner occupier,0,Not poor,63.5484885843255
2013,5,Scotland,1,Owner occupier,0,Not poor,63.8987820538356
2012,5,Scotland,1,Owner occupier,0,Not poor,64.3628212414714
2011,5,Scotland,1,Owner occupier,0,Not poor,64.6261356800859
2010,5,Scotland,1,Owner occupier,0,Not poor,65.5870869795835
2009,5,Scotland,1,Owner occupier,0,Not poor,66.8164304531475
2008,5,Scotland,1,Owner occupier,0,Not poor,67.0647143698146
2007,5,Scotland,1,Owner occupier,0,Not poor,66.8936337242306
2006,5,Scotland,1,Owner occupier,0,Not poor,67.0858181742982
2005,5,Scotland,1,Owner occupier,0,Not poor,67.3922920016283
2004,5,Scotland,1,Owner occupier,0,Not poor,67.5743342568883
2003,5,Scotland,1,Owner occupier,0,Not poor,68.0084876168723
2002,5,Scotland,1,Owner occupier,0,Not poor,68.3287609052935
2001,5,Scotland,1,Owner occupier,0,Not poor,67.8262376433713
2000,5,Scotland,1,Owner occupier,0,Not poor,66.4340171117487
1999,5,Scotland,1,Owner occupier,0,Not poor,65.5070051994017
1998,5,Scotland,1,Owner occupier,0,Not poor,65.0119671954435
1997,5,Scotland,1,Owner occupier,0,Not poor,63.7187153184017
1996,5,Scotland,1,Owner occupier,0,Not poor,62.1865234480688
1995,5,Scotland,1,Owner occupier,0,Not poor,60.3929505452385
1994,5,Scotland,1,Owner occupier,0,Not poor,59.3292555878562
2018,5,Scotland,2,Social rent,0,Not poor,12.6240904396013
2017,5,Scotland,2,Social rent,0,Not poor,12.4683561566566
2016,5,Scotland,2,Social rent,0,Not poor,12.5116964994263
2015,5,Scotland,2,Social rent,0,Not poor,12.9633617889363
2014,5,Scotland,2,Social rent,0,Not poor,13.1347649586414
2013,5,Scotland,2,Social rent,0,Not poor,13.3638738354773
2012,5,Scotland,2,Social rent,0,Not poor,13.7910867832279
2011,5,Scotland,2,Social rent,0,Not poor,13.8366611424695
2010,5,Scotland,2,Social rent,0,Not poor,13.5228095737991
